year,ssp119,ssp126,ssp245,ssp370,ssp585
1901,-0.372675492548599,-0.372675492548599,-0.28936580163287073,-0.372675492548599,-0.372675492548599
1902,-0.30594870058268253,-0.30594870058268253,-0.4351340103651805,-0.30594870058268253,-0.30594870058268253
1903,-0.5927703434192857,-0.5927703434192857,-0.5349478735463886,-0.5927703434192857,-0.5927703434192857
1904,-0.38128537224357295,-0.38128537224357295,-0.38573112855698877,-0.38128537224357295,-0.38128537224357295
1905,-0.17467953264010344,-0.17467953264010344,-0.12393475270060537,-0.17467953264010344,-0.17467953264010344
1906,0.06321744580462321,0.06321744580462321,-0.0664377164358575,0.06321744580462321,0.06321744580462321
1907,-0.5460862662172261,-0.5460862662172261,-0.44368870731776766,-0.5460862662172261,-0.5460862662172261
1908,-0.18910245472736165,-0.18910245472736165,-0.24417450468150026,-0.18910245472736165,-0.18910245472736165
1909,-0.16554615748480184,-0.16554615748480184,-0.1186564690152248,-0.16554615748480184,-0.16554615748480184
1910,-0.2419441800360217,-0.2419441800360217,-0.23341673107439637,-0.2419441800360217,-0.2419441800360217
1911,-0.45367082516478513,-0.45367082516478513,-0.2887273665452975,-0.45367082516478513,-0.45367082516478513
1912,-0.3969526175887393,-0.3969526175887393,-0.5227528807481415,-0.3969526175887393,-0.3969526175887393
1913,-0.5241905404005688,-0.5241905404005688,-0.4614673573635718,-0.5241905404005688,-0.5241905404005688
1914,-0.332526692149253,-0.332526692149253,-0.31740231731525687,-0.332526692149253,-0.332526692149253
1915,-0.14690923531960492,-0.14690923531960492,-0.14401093318729039,-0.14690923531960492,-0.14690923531960492
1916,-0.061654416207599094,-0.061654416207599094,-0.04586274282793418,-0.061654416207599094,-0.061654416207599094
1917,-0.27617993523865697,-0.27617993523865697,-0.29612392058400844,-0.27617993523865697,-0.27617993523865697
1918,-0.20499322410669507,-0.20499322410669507,-0.16422338647566062,-0.20499322410669507,-0.20499322410669507
1919,-0.09870597280569582,-0.09870597280569582,-0.1275883906701545,-0.09870597280569582,-0.09870597280569582
1920,-0.15916054813526295,-0.15916054813526295,-0.22962434403955095,-0.15916054813526295,-0.15916054813526295
1921,-0.24773457258687948,-0.24773457258687948,-0.25184058430611567,-0.24773457258687948,-0.24773457258687948
1922,-0.34730623070034694,-0.34730623070034694,-0.3291588219601071,-0.34730623070034694,-0.34730623070034694
1923,-0.3873762396604047,-0.3873762396604047,-0.3580231464911891,-0.3873762396604047,-0.3873762396604047
1924,-0.1930662586096838,-0.1930662586096838,-0.3662017061271544,-0.1930662586096838,-0.1930662586096838
1925,-0.05420574998099789,-0.05420574998099789,-0.08283447129425295,-0.05420574998099789,-0.05420574998099789
1926,-0.1609316233487723,-0.1609316233487723,-0.10840941410558311,-0.1609316233487723,-0.1609316233487723
1927,-0.19755706466596987,-0.19755706466596987,-0.1736347734996023,-0.19755706466596987,-0.19755706466596987
1928,-0.17718133005287845,-0.17718133005287845,-0.21519961861558956,-0.17718133005287845,-0.17718133005287845
1929,-0.3115702689567494,-0.3115702689567494,-0.2779386516503518,-0.3115702689567494,-0.3115702689567494
1930,-0.01697508366524414,-0.01697508366524414,-0.12997632312058033,-0.01697508366524414,-0.01697508366524414
1931,-0.3384891092194014,-0.3384891092194014,-0.25438876877109334,-0.3384891092194014,-0.3384891092194014
1932,-0.24615682276641554,-0.24615682276641554,-0.1909304563823202,-0.24615682276641554,-0.24615682276641554
1933,0.013616126388197924,0.013616126388197924,-0.12703046490573516,0.013616126388197924,0.013616126388197924
1934,-0.31410863478732937,-0.31410863478732937,-0.3528199916864138,-0.31410863478732937,-0.31410863478732937
1935,-0.049077724035396286,-0.049077724035396286,-0.09369778235737256,-0.049077724035396286,-0.049077724035396286
1936,-0.25554010986724457,-0.25554010986724457,-0.30295756002578283,-0.25554010986724457,-0.25554010986724457
1937,-0.01846364347778645,-0.01846364347778645,-0.04026172101151437,-0.01846364347778645,-0.01846364347778645
1938,-0.4047080499058372,-0.4047080499058372,-0.3545847101872029,-0.4047080499058372,-0.4047080499058372
1939,-0.05487618035248493,-0.05487618035248493,-0.08925868599878256,-0.05487618035248493,-0.05487618035248493
1940,-0.15690662075886136,-0.15690662075886136,-0.21014476974408683,-0.15690662075886136,-0.15690662075886136
1941,-0.04740557744965951,-0.04740557744965951,-0.07951103792427677,-0.04740557744965951,-0.04740557744965951
1942,-0.3336194135865007,-0.3336194135865007,-0.391987625427232,-0.3336194135865007,-0.3336194135865007
1943,-0.12866687813697547,-0.12866687813697547,-0.3399857069620663,-0.12866687813697547,-0.12866687813697547
1944,-0.20424214913640276,-0.20424214913640276,-0.2334330519589385,-0.20424214913640276,-0.20424214913640276
1945,-0.23540998503134583,-0.23540998503134583,-0.2801169051818233,-0.23540998503134583,-0.23540998503134583
1946,0.08146030170353624,0.08146030170353624,-0.08868742773616178,0.08146030170353624,0.08146030170353624
1947,-0.11633145930765798,-0.11633145930765798,-0.14541644099205056,-0.11633145930765798,-0.11633145930765798
1948,-0.038352258613171486,-0.038352258613171486,-0.11587315914243018,-0.038352258613171486,-0.038352258613171486
1949,-0.1510842093338654,-0.1510842093338654,-0.13827925765509191,-0.1510842093338654,-0.1510842093338654
1950,-0.23494840567665,-0.23494840567665,-0.19082921029495176,-0.23494840567665,-0.23494840567665
1951,-0.06298077752940257,-0.06298077752940257,-0.18869962159088366,-0.06298077752940257,-0.06298077752940257
1952,-0.42696703422147647,-0.42696703422147647,-0.39355814175795023,-0.42696703422147647,-0.42696703422147647
1953,-0.11287442146770454,-0.11287442146770454,-0.2679909305838183,-0.11287442146770454,-0.11287442146770454
1954,-0.146346428493974,-0.146346428493974,-0.23933755193334802,-0.146346428493974,-0.146346428493974
1955,-0.4496334153495512,-0.4496334153495512,-0.39000433515883726,-0.4496334153495512,-0.4496334153495512
1956,0.08789448946550676,0.08789448946550676,-0.17077012344120818,0.08789448946550676,0.08789448946550676
1957,-0.1992592137043,-0.1992592137043,-0.20767106397459625,-0.1992592137043,-0.1992592137043
1958,-0.13797845091130168,-0.13797845091130168,-0.2213101336380154,-0.13797845091130168,-0.13797845091130168
1959,-0.05766092317574545,-0.05766092317574545,-0.07729988103327601,-0.05766092317574545,-0.05766092317574545
1960,-0.19038505570428585,-0.19038505570428585,-0.333256659734384,-0.19038505570428585,-0.19038505570428585
1961,-0.36754270410100753,-0.36754270410100753,-0.3613661164922959,-0.36754270410100753,-0.36754270410100753
1962,-0.4830102028917462,-0.4830102028917462,-0.47228238432998093,-0.4830102028917462,-0.4830102028917462
1963,-1.0557814733452004,-1.0557814733452004,-1.0757761126975907,-1.0557814733452004,-1.0557814733452004
1964,-0.8036381200938447,-0.8036381200938447,-0.7014054558824241,-0.8036381200938447,-0.8036381200938447
1965,-0.39697353175949907,-0.39697353175949907,-0.4855355041747788,-0.39697353175949907,-0.39697353175949907
1966,-0.41373788444111015,-0.41373788444111015,-0.4016179249379631,-0.41373788444111015,-0.41373788444111015
1967,-0.5326108855996884,-0.5326108855996884,-0.5073545059644765,-0.5326108855996884,-0.5326108855996884
1968,-0.17067366994913657,-0.17067366994913657,-0.22379226800107588,-0.17067366994913657,-0.17067366994913657
1969,-0.5644542566410264,-0.5644542566410264,-0.5784496517393559,-0.5644542566410264,-0.5644542566410264
1970,-0.2379793552223196,-0.2379793552223196,-0.16565252230173388,-0.2379793552223196,-0.2379793552223196
1971,-0.39680705871462635,-0.39680705871462635,-0.4581468998801096,-0.39680705871462635,-0.39680705871462635
1972,-0.35959005163613145,-0.35959005163613145,-0.4277978517832992,-0.35959005163613145,-0.35959005163613145
1973,-0.29918126914964804,-0.29918126914964804,-0.38438210671877515,-0.29918126914964804,-0.29918126914964804
1974,-0.534171998221926,-0.534171998221926,-0.46724044854102353,-0.534171998221926,-0.534171998221926
1975,-0.35455318523169244,-0.35455318523169244,-0.4535733587027354,-0.35455318523169244,-0.35455318523169244
1976,-0.3350251188831242,-0.3350251188831242,-0.3625629422754138,-0.3350251188831242,-0.3350251188831242
1977,-0.458074503594812,-0.458074503594812,-0.3871337963445114,-0.458074503594812,-0.458074503594812
1978,-0.4081708300064021,-0.4081708300064021,-0.3152007076835422,-0.4081708300064021,-0.4081708300064021
1979,-0.16794859143182994,-0.16794859143182994,-0.2735381246864461,-0.16794859143182994,-0.16794859143182994
1980,-0.13159492805759077,-0.13159492805759077,-0.17849043253314512,-0.13159492805759077,-0.13159492805759077
1981,-0.20713657954584086,-0.20713657954584086,-0.25997113514189024,-0.20713657954584086,-0.20713657954584086
1982,-0.4261014791316624,-0.4261014791316624,-0.5575452904019367,-0.4261014791316624,-0.4261014791316624
1983,-0.7569928063434824,-0.7569928063434824,-0.6670369203190707,-0.7569928063434824,-0.7569928063434824
1984,-0.47909662533617303,-0.47909662533617303,-0.6552162755149556,-0.47909662533617303,-0.47909662533617303
1985,-0.2573582047400075,-0.2573582047400075,-0.2750066782101185,-0.2573582047400075,-0.2573582047400075
1986,-0.448100049308248,-0.448100049308248,-0.3590365996765946,-0.448100049308248,-0.448100049308248
1987,-0.384886642886745,-0.384886642886745,-0.4526856303183654,-0.384886642886745,-0.384886642886745
1988,-0.17763332889512828,-0.17763332889512828,-0.22226817327368886,-0.17763332889512828,-0.17763332889512828
1989,-0.054345927490064394,-0.054345927490064394,-0.06889124893963594,-0.054345927490064394,-0.054345927490064394
1990,-0.4760314564717456,-0.4760314564717456,-0.44807868587130856,-0.4760314564717456,-0.4760314564717456
1991,-0.5708957532330217,-0.5708957532330217,-0.6650982438246449,-0.5708957532330217,-0.5708957532330217
1992,-0.934141044913894,-0.934141044913894,-1.0098043455736259,-0.934141044913894,-0.934141044913894
1993,-0.9294240726194412,-0.9294240726194412,-0.8725087624079145,-0.9294240726194412,-0.9294240726194412
1994,-0.4593221648235635,-0.4593221648235635,-0.34718611194923654,-0.4593221648235635,-0.4593221648235635
1995,-0.12473207131884201,-0.12473207131884201,-0.2555614585524958,-0.12473207131884201,-0.12473207131884201
1996,-0.3393950294422513,-0.3393950294422513,-0.3712525674419732,-0.3393950294422513,-0.3393950294422513
1997,-0.23557020304744236,-0.23557020304744236,-0.3722020376823676,-0.23557020304744236,-0.23557020304744236
1998,-0.41333963052193545,-0.41333963052193545,-0.29257665731692273,-0.41333963052193545,-0.41333963052193545
1999,-0.3829378859456001,-0.3829378859456001,-0.31793896328196425,-0.3829378859456001,-0.3829378859456001
2000,-0.2362364373023872,-0.2362364373023872,-0.2785764344863314,-0.2362364373023872,-0.2362364373023872
2001,-0.34182533536522586,-0.34182533536522586,-0.12894428167046534,-0.34182533536522586,-0.34182533536522586
2002,-0.1460408944642697,-0.1460408944642697,-0.15671282575513124,-0.1460408944642697,-0.1460408944642697
2003,-0.3482379283302366,-0.3482379283302366,-0.2721644531795817,-0.3482379283302366,-0.3482379283302366
2004,-0.32723593054305866,-0.32723593054305866,-0.35420207287401295,-0.32723593054305866,-0.32723593054305866
2005,-0.5530899849104577,-0.5530899849104577,-0.41720294054783436,-0.5530899849104577,-0.5530899849104577
2006,-0.16026048326321796,-0.16026048326321796,-0.2698827678542375,-0.16026048326321796,-0.16026048326321796
2007,-0.5233814525799299,-0.5233814525799299,-0.5201626627697031,-0.5233814525799299,-0.5233814525799299
2008,-0.364635948089317,-0.364635948089317,-0.26084111360626516,-0.364635948089317,-0.364635948089317
2009,-0.28880343520550966,-0.28880343520550966,-0.35976416643345466,-0.28880343520550966,-0.28880343520550966
2010,-0.14878968243924806,-0.14878968243924806,-0.22598026145852557,-0.14878968243924806,-0.14878968243924806
2011,-0.25371485287731055,-0.25371485287731055,-0.1966274430678363,-0.25371485287731055,-0.25371485287731055
2012,-0.18350158812913397,-0.18350158812913397,-0.24170245186853045,-0.18350158812913397,-0.18350158812913397
2013,-0.26410497357882035,-0.26410497357882035,-0.2564310419282225,-0.26410497357882035,-0.26410497357882035
2014,0.04521429013067335,0.04521429013067335,0.01498076515834268,0.04521429013067335,0.04521429013067335
2015,0.03712035812370318,0.0796925226745826,-0.1882495004800928,0.04248454904769727,0.026725750755914213
2016,-0.22010043146065228,-0.22759572901568625,-0.286976336547351,-0.4325833828966593,-0.49001513118658924
2017,-0.15708060465112217,-0.40842217538118697,-0.10956227671504792,-0.23201814257164322,-0.05421601232305706
2018,-0.152368126130084,-0.0686309030944039,-0.16526769189019808,-0.1475354547690524,-0.3036391882421754
