,nonCO2_erf
2184,0.8114244289937889
2185,1.3014480362343828
2186,0.8963194021760446
2187,0.838834841492559
2188,0.9295746873330839
2189,1.1371958615191273
2190,1.4999489798004542
2191,1.766927958297409
2192,1.6436675929042073
2193,0.891740184828691
2194,0.2661418188494171
2195,0.9054035091365138
2196,1.2347472666001533
2197,1.2654322147504773
2198,1.4493906236547798
2199,1.303651643112505
2200,0.7908433502167096
2201,0.5250452405454702
2202,0.9895773227800158
2203,1.6005298580431502
2204,1.2606058071677746
2205,0.9117779835563022
2206,0.8218992111017038
2207,1.3169550843574969
2208,1.3152239504793677
2209,0.8256851866909207
2210,0.31694743116590374
2211,0.3864757222826758
2212,1.1690900484094118
2213,1.057701894183211
2214,1.4878400383701313
2215,1.5143577834653523
2216,1.5513429523465472
2217,0.7979972597156813
2218,1.3276509998887405
2219,1.5319480298228614
2220,1.0430539183579532
2221,0.4609760091083819
2222,1.1814416638891965
2223,1.6388595846252603
2224,1.0714068642748629
2225,1.216995218637923
2226,1.8421723744810352
2227,1.3763267455924544
2228,0.7311539296584508
2229,0.8875162724192129
2230,1.628626012171556
2231,1.4184415162696942
2232,1.3378747584188808
2233,1.2152915953113033
2234,1.3046865547337225
2235,1.1738619628171272
2236,0.9914492510827926
2237,1.2858999417577734
2238,1.1004550623479405
2239,1.1994237837098807
2240,1.6765357499435767
2241,1.475383697357733
2242,1.2964857897911661
2243,1.4834142932284655
2244,1.8512364572441158
2245,1.9332567509222771
2246,1.5208686390448176
2247,1.3267890764252124
2248,0.9905749529010586
2249,0.8881912518301822
2250,1.4989470974849517
2251,1.611245611133541
2252,1.264495280124017
2253,1.558140255876032
2254,1.139058935232617
2255,0.9619081066250805
2256,1.301880431981137
2257,1.1521592020960874
2258,1.6282653000561582
2259,0.9343542429446277
2260,1.3926565507557942
2261,1.2083702467273552
2262,0.1779901785765432
2263,1.212460081358245
2264,1.6835107947241712
2265,1.7148939815664916
2266,1.319181269999593
2267,1.4448856812124637
2268,1.7892051330957273
2269,1.6372231972921207
2270,1.5839199684276235
2271,1.7070692430052576
2272,1.842016391552782
2273,1.5738196333484191
2274,0.6732116993915127
2275,1.1819251981103052
2276,1.7018714369577477
2277,1.8516055464179884
2278,1.7604540778100708
2279,1.596557155936395
2280,1.107196206247871
2281,1.0742863245712337
2282,1.865011484437403
2283,1.2307152723373749
2284,1.5266313908210822
2285,1.3208109030690394
2286,1.8266711577203656
2287,1.184677326544817
2288,0.884558019251847
2289,1.1962489232521554
2290,1.053630095399206
2291,1.1276360065091797
2292,1.2808235932928096
2293,1.7125566728229904
2294,0.8738886959320284
2295,1.9271860415155622
2296,1.5874712250815386
2297,1.7922762340631284
2298,1.035508294344817
2299,1.4275337471831384
