year,tas,rlut,rsut,rsdt
1995,286.7112487121381,239.04339135935334,101.08733270561775,340.2233080011988
1996,286.6481968808229,238.96410426991204,100.83396853942104,340.2392703179717
1997,286.5041210244651,238.78862068736626,101.00732542872363,340.2233080011988
1998,286.6208707930635,238.85370326592331,100.92122352507778,340.2233080011988
1999,286.6288875156182,238.74877148738167,100.97158746677701,340.2233080011988
2000,286.5730858934284,238.87327038283408,101.26073092122242,340.2392703179717
2001,286.517178646364,238.7617086577221,101.1042941552631,340.2233080011988
2002,286.4961417055666,238.7086369443906,101.26320458889933,340.2233080011988
2003,286.52570580726297,238.73769977155004,101.46832744830972,340.2233080011988
2004,286.4027786390898,238.50039522193563,101.00350076983834,340.2392703179717
2005,286.4110792634635,238.44195906302718,101.06063780166566,340.2233080011988
2006,286.5085362098177,238.46324819384117,101.16790178114115,340.2233080011988
2007,286.4387110459442,238.68132914025998,100.98687104747687,340.2233080011988
2008,286.58254909255896,238.71881570213029,100.7965022282461,340.2392703179717
2009,286.73310714586694,238.75801558072956,100.96269648216283,340.2233080011988
2010,286.80467004429005,238.96980581173966,101.01634712703061,340.2233080011988
2011,286.66617658772543,239.024997329513,100.87627818326234,340.2233080011988
2012,286.56076733032336,238.64495982655626,101.28238066600325,340.2392703179717
2013,286.64539708268273,238.82884368726434,100.99803297238246,340.2233080011988
2014,286.63450446598534,238.75870338171202,100.88447610107276,340.2233080011988
2015,286.6992369911592,239.10811050574773,100.61641143192425,340.2233080011988
2016,286.6454126680871,239.04942206914063,100.77231293156116,340.2392703179717
2017,286.6007782232377,239.00032261482602,100.56892218036008,340.2233080011988
2018,286.74540380899197,238.88133328602422,100.94780335067013,340.2233080011988
2019,286.7682901237318,239.00591258992554,100.89151894187688,340.2233080011988
2020,286.691515158537,238.99666877043322,100.82496872260081,340.2392703179717
2021,286.6127923202574,238.76700231092954,100.95710324851329,340.2233080011988
2022,286.6677583123571,238.76361889305812,100.79668427371048,340.2233080011988
2023,286.7451895668653,238.80180251883397,100.95430883400665,340.2233080011988
2024,286.81171596184544,239.00013644102935,101.30183164873307,340.2392703179717
2025,286.65189670605844,239.2549023215452,101.12726144287306,340.2233080011988
2026,286.58393266257923,239.02346516118095,100.40442143768053,340.2233080011988
2027,286.74438469103416,239.060027395621,100.62688275240454,340.2233080011988
2028,286.7232731074294,239.04299349062003,100.95641832854521,340.2392703179717
2029,286.77729072414303,238.96143014719732,100.98026381113455,340.2233080011988
2030,286.6865853492845,238.6107942489747,101.44595392379354,340.2233080011988
2031,286.58180236662173,239.0926983018129,101.29538001164353,340.2233080011988
2032,286.42020476537846,238.83592200681252,100.53815655963967,340.2392703179717
2033,286.5655593843907,238.61605662958206,100.77746001661178,340.2233080011988
2034,286.71338124603767,239.09460324993088,101.08054108748274,340.2233080011988
2035,286.59061653239445,238.91676277092128,101.12294479714933,340.2233080011988
2036,286.6706969513359,238.9416194655931,100.69148454066242,340.2392703179717
2037,286.6967354187373,239.13819140445855,101.03928578847456,340.2233080011988
2038,286.638438214963,238.97804247987358,100.73991904252686,340.2233080011988
2039,286.63078088540135,238.8502285627168,100.70537130350101,340.2233080011988
2040,286.6679731082312,238.78318189445633,100.7373627278938,340.2392703179717
2041,286.7057430109874,238.8979925782439,100.90757569949308,340.2233080011988
2042,286.8509891597835,239.08510326276567,100.83485636738368,340.2233080011988
2043,286.88431131836273,238.9924517766965,100.82285363578126,340.2233080011988
2044,286.9192273888921,239.14260243491796,100.96363837200539,340.2392703179717
2045,286.6736386430844,238.92306728375627,100.92460337450557,340.2233080011988
2046,286.63383552047696,238.82415880232267,100.49600850281816,340.2233080011988
2047,286.7245369247542,239.00273007932083,100.49754430627586,340.2233080011988
2048,286.80874305869355,239.05708905654194,100.82338365341423,340.2392703179717
2049,286.7403509363296,238.94458396920697,100.60730423033512,340.2233080011988
2050,286.8450619260645,239.02177806101474,100.94911127270063,340.2233080011988
2051,286.9749484229453,239.09838970121015,100.96837685754848,340.2233080011988
2052,286.83950250776365,239.264770715317,101.4222202219391,340.2392703179717
2053,286.7029833638049,238.88195501963682,100.76176559843265,340.2233080011988
2054,286.7769226001863,238.96605813430327,100.76074344687426,340.2233080011988
2055,286.735987307195,238.9671184099583,101.15795487714797,340.2233080011988
2056,286.7241632307476,239.0015898116277,100.73721362851298,340.2392703179717
2057,286.6449153667477,238.7110804505072,100.77367475873434,340.2233080011988
2058,286.69129624545536,238.68592888852245,100.49739783086703,340.2233080011988
2059,286.7449286591057,239.02096772910127,100.73820419404042,340.2233080011988
