,nonCO2_erf
2269,2.793846455585303
2270,3.1460087474573113
2271,3.6362204385861654
2272,2.463725034933241
2273,3.076826270947185
2274,4.470662632617361
2275,3.3707674786177364
2276,1.2594774657921952
2277,3.3013955509268404
2278,4.39128099959024
2279,4.374720964716397
2280,1.1913796650613682
2281,2.932719011504873
2282,4.567068453486672
2283,3.636850495378184
2284,-0.5161864191670773
2285,1.2338179220053078
2286,4.431117628543395
2287,3.439080767473365
2288,3.509601236324751
2289,4.783495896240538
2290,3.040618404288795
2291,2.161437140747655
2292,1.3206256596513208
2293,0.9756649106751688
2294,3.974221472078317
2295,3.1530890252283537
2296,2.3950759729434945
2297,3.516296387781236
2298,3.3931002109505775
2299,2.031323782158677
